ARTIST,AVG RANK,# OF FESTS,,COACHELLA,JAZZFEST,SUNFEST,SHAKYKNEES,HANGOUT,BOSCALLING,BUNBURY,GOVBALL,BONNAROO,FIREFLY,FORECASTLE,PITCHFORK,LOLLA,OUTSIDELDS,BUMBERSHT,ACL,OSHEAGA,SASQUATCH
START DATE,,,,4/10/2015,4/24/2015,4/29/2015,5/8/2015,5/15/2015,5/22/2015,6/5/2015,6/5/2015,6/11/2015,6/18/2015,7/17/2015,7/17/2015,7/31/2015,8/7/2015,8/29/2015,10/2/2015,7/31/2015,
My Morning Jacket,4.6,5,,,,,,5,3,,6,7,,2,,,,,,,
Tame Impala,7,5,,2,,,8,,6,6,13,,,,,,,,,,
Run The Jewels,18.6,5,,16,,,,,15,,,33,22,,7,,,,,,
Odesza,28.6,5,,13,,,,23,,,35,45,27,,,,,,,,
Sturgill Simpson,31.4,5,,41,,,,,,,30,37,31,18,,,,,,,
Vance Joy,23.25,4,,25,,,,21,10,,37,,,,,,,,,,
Mac DeMarco,31.25,4,,24,,,40,,,,,50,,,11,,,,,,
Jungle,35.25,4,,24,,,,,18,,,59,40,,,,,,,,
Royal Blood,37.75,4,,28,,,,,,17,38,68,,,,,,,,,
MØ,40.75,4,,47,,,,,19,,40,57,,,,,,,,,
Benjamin Booker,50,4,,49,,,,,,,50,60,41,,,,,,,,
Florence + the Machine,3.666666667,3,,2,,,,,,,4,5,,,,,,,,,
Ryan Adams,6,3,,4,,,6,,,,8,,,,,,,,,,
Brand New,7.666666667,3,,9,,,10,,,4,,,,,,,,,,,
St. Vincent,9.333333333,3,,6,,,,,7,,15,,,,,,,,,,
Hozier,10,3,,7,,,,,,,,12,11,,,,,,,,
TV On The Radio,11,3,,,,,14,11,8,,,,,,,,,,,,
Spoon,13,3,,,,,,8,,,,16,15,,,,,,,,
Marina and the Diamonds,15,3,,7,,,,,9,,29,,,,,,,,,,
War on Drugs,15.66666667,3,,14,,,,,,,16,17,,,,,,,,,
Caribou,16.66666667,3,,15,,,,,,,,27,,,8,,,,,,
Atmosphere,17.33333333,3,,,,,,,,10,22,20,,,,,,,,,
Future Islands,17.33333333,3,,,,,,20,,,28,,,,4,,,,,,
Father John Misty,17.66666667,3,,13,,,,24,,16,,,,,,,,,,,
Flying Lotus,18,3,,10,,,,,,,19,25,,,,,,,,,
Panda Bear,19,3,,23,,,25,,,,,,,,9,,,,,,
SBTRKT,19,3,,10,,,,,,,18,29,,,,,,,,,
Cold War Kids,19.66666667,3,,,,,,19,,,,,24,16,,,,,,,
Manchester Orchestra,20.33333333,3,,,,,16,,,13,,,32,,,,,,,,
Tove Lo,24.66666667,3,,,,,,,13,,,32,29,,,,,,,,
Lone Bellow,25,3,,,,,,34,16,,,,,25,,,,,,,
Jamie xx,25.66666667,3,,20,,,,,,,,43,,,14,,,,,,
Kiesza,28.33333333,3,,21,,,,,,,41,,,23,,,,,,,
Tycho,32.66666667,3,,17,,,,,,,,51,30,,,,,,,,
Sylvan Esso,34.33333333,3,,25,,,,,,,,40,38,,,,,,,,
Houndmouth,36,3,,,,,,41,,,,61,,6,,,,,,,
Clean Bandit,36.66666667,3,,26,,,,,,,45,,39,,,,,,,,
Gramatik,41.33333333,3,,35,,,,33,,,,56,,,,,,,,,
Glass Animals,46,3,,27,,,,,,,,63,48,,,,,,,,
Grizfolk,53,3,,,,,,49,20,,,,90,,,,,,,,
DMA's,57.66666667,3,,,,,,,21,,65,87,,,,,,,,,
Ryn Weaver,59.33333333,3,,56,,,,,,,,76,46,,,,,,,,
Strand of Oaks,61,3,,,,,,48,,,54,81,,,,,,,,,
Rustie,61.33333333,3,,,,,,,,,52,75,57,,,,,,,,
Zella Day,61.33333333,3,,,,,55,59,,,,,70,,,,,,,,
Halsey,62.33333333,3,,,,,64,57,,,,,66,,,,,,,,
Knox Hamilton,63.66666667,3,,,,,,58,,,,,87,46,,,,,,,
Phox,63.66666667,3,,44,,,,,,,,82,65,,,,,,,,
Drake,1,2,,1,,,,,,,1,,,,,,,,,,
Black Keys,1.5,2,,,,,,,,1,2,,,,,,,,,,
Avett Brothers,2,2,,,,,2,,,2,,,,,,,,,,,
Beck,2,2,,,,,,3,1,,,,,,,,,,,,
Wilco,2,2,,,,,3,,,,,,,,1,,,,,,
Deadmau5,3,2,,,,,,,,,3,3,,,,,,,,,
Pixies,3,2,,,,,4,,2,,,,,,,,,,,,
Snoop Dogg,4,2,,,,,,,,3,,,5,,,,,,,,
Foster The People,6,2,,,,,,6,,,,,6,,,,,,,,
Modest Mouse,6,2,,,,,,,,,,,8,4,,,,,,,
Alabama Shakes,7.5,2,,6,,,,,,,,9,,,,,,,,,
Interpol,8,2,,3,,,13,,,,,,,,,,,,,,
Noel Gallagher's High Flying Birds,8.5,2,,,,,7,,,,10,,,,,,,,,,
Ben Harper & The Innocent Criminals,9,2,,,,,,,4,,,14,,,,,,,,,
Decemberists,9.5,2,,,,,,,,7,12,,,,,,,,,,
