ARTIST,COACHELLA,GOVBALL,BONNAROO,JAZZFEST,SUNFEST,SHAKYKNEES,HANGOUT,BOSCALLING,SASQUATCH,BUNBURY,FIREFLY,FORECASTLE,LOLLA,OSHEAGA
1200,,,,,,,,,,,,37,,
2 Many DJs,14,,,,,,,,,,,,,
3LAU,,,,,,,24,,,,,,,
A$AP Ferg,,,,,,,,,,,,,54,
A$AP Rocky,5,,,,,,,,6,,11,,,
Aaron Neville,,,,33,,,,,,,,,,
AC Slater,50,,,,,,,,,,,,110,
Action Bronson,,22,,,,,,,,,,,,
Adam Beyer & Ida Engberg,20,,,,,,,,,,,,,
Adam Devine,,,23,,,,,,,,,,,
Adia Victoria,,,,,,73,,,,,,,,
Adventure Club,,,39,,,,,,,,,,38,
Against Me!,,37,,,,28,,,,,,,,
Alabama Shakes,,,,,2,,4,,4,,,2,,
Albert Hammond Jr.,,40,,,,,,,,,,,,
Alessia Cara,36,,,,,,33,,,,,,59,
Alex G,,,,,,68,,,,,,33,,92
Algiers,50,,,,,,,,,,,,,
Alina Baraz,,,,,,,,,38,,,,97,
Alison Wonderland,,,,,,,50,,,,,,,
All Them Witches,,,,,,59,,,,,,26,,
Alle Farben,,,,,,,,,,,,,132,
Allen Stone,,,67,,,,,,16,,,,,
Alpha Blondy,,,,38,,,,,,,,,,
AlunaGeorge,33,,,,,,,,,,32,,82,
Alvvays,44,,,,,,,,,,,,,
AMFMs,,,,,,,,,,,110,,,
Amine Edge & DANCE,55,,,,,,,,,,,,,
Anders Osborne,,,,66,,,,,,,,,,
Anderson .Paak,31,,,,,,,,,,,,,
Anderson East,,,79,,,,,,,,,28,,
Andra Day,,,78,,,,,,29,,,,,
Andrew McMahon in the Wilderness,,,,,,,,,,,,20,,
Andy Grammer,,,,,18,,,,,,,,,
Arkells,,,,,,,,,,,68,,163,
Arlo Guthrie,,,,27,,,,,,,,,,
Arlo McKinley & The Lonesome Sound,,,,,,,,,,39,,,,
Arturo Sandoval,,,,69,,,,,,,,,,
At The Drive-In,,,,,,4,,,,,,,,
Atlas Genius,,,,,,26,39,,,,31,,,
Audien,,,,,,,,,,,,,99,
Audiodamn!,,,,,,,,,,,,,168,
Aurora,,,,,,,,,,,,,96,
Austin Plaine,,,,,,,,,,22,,,,
Autolux,28,,,,,,,,74,,,,129,
Automagik,,,,,,,,,,42,,,,
Baauer,17,,,,,,,,44,,,,,
Bad Royale,,,,,,,,,,,,,115,
BADBADNOTGOOD,37,,,,,,,,,,,,,
Baio,,,,,,,,,79,,,,125,
Bakery,,,,,,76,,,,,,,,
Band of Horses,,,19,,,,,,,,,,,
Banners,,,,,,,,,,,,,128,80
Barns Courtney,,,,,,69,,,,,,,,
Baroness,,,,,,31,,,46,,,,,
Bas Cozz Omen,,,,,,,,,,,,,109,
Bass Drum of Death,,,,,,,62,,,,,,,
Bastille,,,,,11,,,,,,,,24,13
Bat For Lashes,22,42,,,,,,,,,,,,
Battles,,,,,,,,17,,,,,,
Bayonne,,,,,,,,,86,,,,,
