,powerRank,cloutscore,count
Bayonne,10.630110661375658,10.630110661375658,1
Matt Vasquez,8.458646644736843,8.458646644736843,1
Marcus Marr,15.536315582010582,15.536315582010582,1
John Digweed,78.08340747116236,78.08340747116236,1
Patrick Watson,24.144869336016093,24.144869336016093,1
Rudimental,61.3275615079365,61.3275615079365,1
Black Coffee,78.08340747116236,78.08340747116236,1
Anders Osborne,4.365079384920636,4.365079384920636,1
Polly A.,2.9239766151489888,2.9239766151489888,1
Lush,85.18189905944986,85.18189905944986,1
Silversun Pickups,346.9861139751759,57.83101899586265,6
Briana Marela,12.265512301587298,12.265512301587298,1
Alex G,16.898739537813864,4.224684884453466,4
Totem,7.01754387635756,7.01754387635756,1
Titus Andronicus,33.52573362433862,33.52573362433862,1
The Vandals,72.75953877994675,72.75953877994675,1
Jonny Lang,36.375661541005286,36.375661541005286,1
Four Tet,60.50986068783068,60.50986068783068,1
Boz Scaggs,31.283068925264548,31.283068925264548,1
Lana Del Rey,230.22431275090662,76.74143758363554,3
Joey Bada$$,109.97284324639473,54.986421623197366,2
Marian Hill,182.47496635638652,26.067852336626647,7
Half Moon Run,98.25727300552781,32.75242433517594,3
Torres,10.389610447330446,10.389610447330446,1
Saint Motel,194.5357961266358,48.63394903165895,4
Rae Sremmurd,109.98834356577412,54.99417178288706,2
Jamie xx,100.16835054954304,50.08417527477152,2
Seven Lions,60.81871359509885,60.81871359509885,1
King Gizzard & The Lizard Wizard,42.75989731021394,21.37994865510697,2
Waxahatchee,8.321775335182613,8.321775335182613,1
Rayland Baxter,11.650485469255667,11.650485469255667,1
Haute,1.554907682215745,1.554907682215745,1
Hinds,1.8018018082368046,1.8018018082368046,1
Goldroom,73.942620711328,73.942620711328,1
Panama Wedding,26.315789536340855,26.315789536340855,1
Death Cab for Cutie,239.36971553200348,47.873943106400695,5
Red Wanting Blue,6.64451838316722,6.64451838316722,1
Sunflower Bean,11.111111137566143,11.111111137566143,1
Wolf Alice,252.30711703238586,50.461423406477174,5
The Dip,2.453102460317458,2.453102460317458,1
The Sword,44.17293247807017,44.17293247807017,1
Murder By Death,29.13533844298246,29.13533844298246,1
Dua Lipa,55.71360849821626,27.85680424910813,2
Digable Planets,76.08197181124646,38.04098590562323,2
Underworld,137.63479579208533,68.81739789604266,2
Girl Band,12.846068820598006,12.846068820598006,1
Conner Youngblood,12.010470249169437,6.005235124584718,2
Rick Springfield,21.38364795148248,21.38364795148248,1
Tor Miller,18.778005666881853,9.389002833440927,2
Walk The Moon,210.3322472944867,42.06644945889734,5
Lydia,3.3222591915836097,3.3222591915836097,1
Bicep,12.324930074696546,12.324930074696546,1
Aurora,71.33818179554076,35.66909089777038,2
David Ramirez,13.157894780701755,13.157894780701755,1
Caverns,7.335907355212351,7.335907355212351,1
White Denim,19.129592538751027,9.564796269375513,2
Porches,12.403100930232558,12.403100930232558,1
Capital Cities,23.899371239892186,23.899371239892186,1
Roisin Murphy,22.522522602960102,22.522522602960102,1
Asteroid #4,5.6935818374741185,5.6935818374741185,1
Frances,134.0826828907363,33.52067072268407,4
Foals,501.95627339180004,55.77291926575556,9
Slumberjack,33.9181287357282,33.9181287357282,1
Cassy,96.13025572655292,48.06512786327646,2
Boombox Cartel,33.333333412698416,33.333333412698416,1
Guster,62.76276292792792,62.76276292792792,1
AC Slater,101.33356189647688,50.66678094823844,2
New Order,56.75675695945946,56.75675695945946,1
No Traffik,3.144654110512129,3.144654110512129,1
Dragonette,41.2050535787172,41.2050535787172,1
Dreamers,5.847953230297966,5.847953230297966,1
Eagles of Death Metal,67.908407663287,33.9542038316435,2
Noe,0.0,0.0,1
Rogue Wave,16.11219836594912,16.11219836594912,1
JDH & Dave P,25.604996256830603,25.604996256830603,1
Salt N Pepa,20.12578630727763,20.12578630727763,1
Watch The Duck,13.83647808625337,13.83647808625337,1
Dead & Company,84.04993088534444,84.04993088534444,1
Flying Lotus,21.739130652173916,21.739130652173916,1
Ultimate Painting,5.175983488612835,5.175983488612835,1
Kaneholler,19.562419613899614,19.562419613899614,1
Boogarins,8.79917193064182,8.79917193064182,1
Bro Safari,84.93265152798281,42.46632576399141,2
White Lung,54.6127666384411,18.204255546147035,3
Porter Robinson,73.35907355212355,73.35907355212355,1
Prinze George,26.85402046448087,26.85402046448087,1
Julio Iglesias,43.65079384920635,43.65079384920635,1
AMFMs,0.815100817245819,0.815100817245819,1
Kings of Leon,88.84598907979408,88.84598907979408,1
Red Hot Chili Peppers,224.44184510608648,74.81394836869549,3
Arturo Sandoval,2.182539692460315,2.182539692460315,1
G. Love & Special Sauce,9.63455165559247,9.63455165559247,1
Promised Land Sound,1.5527950465838496,1.5527950465838496,1
DJ Khaled,33.09914150273224,33.09914150273224,1
